Date,S&P Comp. P,Dividend D,Earnings E,Price Index CPI,Date Fraction,Long Interest Rate GS10,Real Price,Real Dividend,Total Return Price,Real Earnings,TR Scaled Earnings,Ratio P/E10 or CAPE,Ratio TR P/E10 or TR CAPE,Excess CAPE Yield,Total Bond Returns,Total Bond Returns,10 Year Annualized Stock Real Return,10 Year Annualized Bonds Real Return,Real 10 Year Excess Annualized Returns
1871.01,4.44,0.26,0.40,12.46,1871.04,5.32,118.55,6.94,  118.55 ,10.68,  10.68 ,NA,NA,,1.00,1.00,13.06%,9.25%,3.81%
1871.02,4.50,0.26,0.40,12.84,1871.13,5.32,116.59,6.74,  117.15 ,10.36,  10.41 ,NA,NA,,1.00,0.97,13.09%,9.46%,3.62%
1871.03,4.61,0.26,0.40,13.03,1871.21,5.33,117.69,6.64,  118.82 ,10.21,  10.31 ,NA,NA,,1.00,0.96,13.10%,9.62%,3.48%
1871.04,4.74,0.26,0.40,12.56,1871.29,5.33,125.60,6.89,  127.37 ,10.60,  10.75 ,NA,NA,,1.00,1.00,12.21%,9.10%,3.11%
1871.05,4.86,0.26,0.40,12.27,1871.38,5.33,131.77,7.05,  134.23 ,10.85,  11.05 ,NA,NA,,1.00,1.03,12.26%,8.95%,3.31%
1871.06,4.82,0.26,0.40,12.08,1871.46,5.34,132.74,7.16,  135.83 ,11.02,  11.27 ,NA,NA,,1.00,1.05,12.31%,8.77%,3.54%
1871.07,4.73,0.26,0.40,12.08,1871.54,5.34,130.27,7.16,  133.91 ,11.02,  11.32 ,NA,NA,,1.00,1.06,12.00%,8.66%,3.34%
1871.08,4.79,0.26,0.40,11.89,1871.63,5.34,134.03,7.28,  138.40 ,11.19,  11.56 ,NA,NA,,1.00,1.08,11.19%,8.27%,2.93%
1871.09,4.84,0.26,0.40,12.18,1871.71,5.35,132.25,7.10,  137.18 ,10.93,  11.34 ,NA,NA,,1.00,1.06,11.00%,8.10%,2.90%
1871.1,4.59,0.26,0.40,12.37,1871.79,5.35,123.49,7.00,  128.69 ,10.76,  11.22 ,NA,NA,,1.00,1.05,11.48%,8.17%,3.31%
1871.11,4.64,0.26,0.40,12.37,1871.88,5.35,124.84,7.00,  130.70 ,10.76,  11.27 ,NA,NA,,1.00,1.05,11.53%,8.26%,3.27%
1871.12,4.74,0.26,0.40,12.65,1871.96,5.36,124.65,6.84,  131.10 ,10.52,  11.06 ,NA,NA,,1.00,1.03,11.21%,8.50%,2.71%
1872.01,4.86,0.26,0.40,12.65,1872.04,5.36,127.81,6.92,  135.03 ,10.58,  11.18 ,NA,NA,,1.00,1.04,10.77%,8.49%,2.28%
1872.02,4.88,0.27,0.41,12.65,1872.13,5.38,128.33,7.01,  136.20 ,10.65,  11.30 ,NA,NA,,1.00,1.04,10.38%,8.39%,1.98%
1872.03,5.04,0.27,0.41,12.84,1872.21,5.40,130.58,7.00,  139.20 ,10.56,  11.26 ,NA,NA,,1.00,1.03,10.17%,8.55%,1.62%
1872.04,5.18,0.27,0.41,13.13,1872.29,5.42,131.29,6.93,  140.58 ,10.39,  11.13 ,NA,NA,,1.00,1.01,10.01%,8.69%,1.32%
1872.05,5.18,0.28,0.41,13.13,1872.38,5.43,131.29,7.01,  141.20 ,10.45,  11.24 ,NA,NA,,1.00,1.01,9.78%,8.59%,1.19%
1872.06,5.13,0.28,0.42,13.03,1872.46,5.45,130.97,7.15,  141.50 ,10.59,  11.45 ,NA,NA,,1.00,1.02,9.65%,8.41%,1.24%
1872.07,5.10,0.28,0.42,12.84,1872.54,5.47,132.13,7.34,  143.42 ,10.82,  11.74 ,NA,NA,,1.00,1.04,10.25%,8.35%,1.90%
1872.08,5.04,0.29,0.42,12.94,1872.63,5.49,129.62,7.37,  141.35 ,10.80,  11.78 ,NA,NA,,1.00,1.04,10.68%,8.32%,2.36%
1872.09,4.95,0.29,0.42,13.03,1872.71,5.51,126.37,7.40,  138.49 ,10.79,  11.82 ,NA,NA,,1.00,1.03,11.37%,8.70%,2.67%
1872.1,4.97,0.29,0.43,12.75,1872.79,5.53,129.73,7.66,  142.86 ,11.09,  12.22 ,NA,NA,,1.00,1.06,10.87%,8.56%,2.31%
1872.11,4.95,0.30,0.43,13.13,1872.88,5.54,125.46,7.52,  138.85 ,10.84,  11.99 ,NA,NA,,1.00,1.03,10.86%,8.98%,1.88%
1872.12,5.07,0.30,0.43,12.94,1872.96,5.56,130.39,7.72,  145.02 ,11.06,  12.30 ,NA,NA,,1.00,1.05,10.59%,8.92%,1.67%
1873.01,5.11,0.30,0.43,12.94,1873.04,5.58,131.42,7.78,  146.89 ,11.12,  12.43 ,NA,NA,,1.01,1.05,10.44%,8.91%,1.52%
1873.02,5.15,0.31,0.44,13.23,1873.13,5.57,129.59,7.67,  145.56 ,10.95,  12.29 ,NA,NA,,1.01,1.03,10.24%,9.02%,1.21%
1873.03,5.11,0.31,0.44,13.23,1873.21,5.56,128.58,7.74,  145.15 ,11.01,  12.43 ,NA,NA,,1.01,1.04,10.56%,9.10%,1.46%
1873.04,5.04,0.31,0.44,13.23,1873.29,5.55,126.82,7.80,  143.90 ,11.07,  12.56 ,NA,NA,,1.01,1.05,11.04%,9.18%,1.86%
1873.05,5.05,0.31,0.44,12.94,1873.38,5.54,129.88,8.04,  148.12 ,11.38,  12.98 ,NA,NA,,1.01,1.07,10.69%,9.03%,1.66%
1873.06,4.98,0.32,0.45,12.56,1873.46,5.53,131.96,8.35,  151.29 ,11.79,  13.52 ,NA,NA,,1.01,1.11,10.93%,9.00%,1.93%
1873.07,4.97,0.32,0.45,12.56,1873.54,5.53,131.69,8.41,  151.79 ,11.86,  13.67 ,NA,NA,,1.01,1.12,11.00%,9.20%,1.80%
1873.08,4.97,0.32,0.45,12.56,1873.63,5.52,131.69,8.48,  152.60 ,11.92,  13.82 ,NA,NA,,1.01,1.12,10.48%,9.17%,1.31%
1873.09,4.59,0.32,0.45,12.56,1873.71,5.51,121.62,8.55,  141.76 ,11.99,  13.98 ,NA,NA,,1.01,1.13,11.59%,9.26%,2.33%
1873.1,4.19,0.33,0.46,12.27,1873.79,5.50,113.60,8.81,  133.27 ,12.34,  14.47 ,NA,NA,,1.01,1.16,12.02%,8.99%,3.04%
1873.11,4.04,0.33,0.46,11.89,1873.88,5.49,113.04,9.16,  133.51 ,12.80,  15.12 ,NA,NA,,1.01,1.21,12.34%,8.73%,3.61%
1873.12,4.42,0.33,0.46,12.18,1873.96,5.48,120.78,9.02,  143.53 ,12.57,  14.94 ,NA,NA,,1.01,1.18,11.23%,8.85%,2.37%
1874.01,4.66,0.33,0.46,12.37,1874.04,5.47,125.38,8.88,  149.88 ,12.38,  14.79 ,NA,NA,,1.01,1.17,10.47%,9.00%,1.47%
1874.02,4.80,0.33,0.46,12.37,1874.13,5.44,129.14,8.88,  155.26 ,12.38,  14.88 ,NA,NA,,1.01,1.18,10.43%,8.96%,1.47%
1874.03,4.73,0.33,0.46,12.37,1874.21,5.40,127.26,8.88,  153.89 ,12.38,  14.97 ,NA,NA,,1.01,1.19,10.54%,8.92%,1.62%
1874.04,4.60,0.33,0.46,12.18,1874.29,5.37,125.70,9.02,  152.90 ,12.57,  15.29 ,NA,NA,,1.01,1.22,10.39%,8.95%,1.44%
